Hostname,ManagementIp,HwSku,Type,Protocol,Os
gold103,10.249.1.2/24,NH-4010,DevSonic,,sonic
dvc106,10.60.1.106/24,ACS-SN5600,FanoutLeaf,,sonic
dvc117,10.249.3.2/24,Accton-AS9716-32D,DevSonic,,sonic
ts107_tps_tb1,10.20.16.18/24,TestServ,server,,ubuntu
ts102_tps_tb2,10.20.16.22/20,TestServ,server,,ubuntu
ts102_tps_tb3,10.20.16.22/20,TestServ,server,,ubuntu
con104,10.60.1.9/24,Lantronix-EDS3032PR,consoleserver,ssh_to_port,other
pdu105,10.60.1.18,Raritan-DSX2-32,Pdu,snmp,
dvc121,10.249.2.2/24,UFISPACE-S9620-32E,DevSonic,,sonic
dvc116,10.60.1.133/24,Accton-AS9716-32D,FanoutLeaf,,sonic
